n,m,lhs,rhs,exact_residual,recurrence_residual,corrupt_sign_residual,pass,control_fails
5,5,1/252,1/252,0,0,131/6,True,True
5,6,1/462,1/462,0,0,5312/231,True,True
5,7,1/792,1/792,0,0,287/12,True,True
5,8,1/1287,1/1287,0,0,31744/1287,True,True
5,9,1/2002,1/2002,0,0,177/7,True,True
5,10,1/3003,1/3003,0,0,11072/429,True,True
5,11,1/4368,1/4368,0,0,4411/168,True,True
5,12,1/6188,1/6188,0,0,5888/221,True,True
6,1,1/7,1/7,0,0,18,True,True
6,2,1/28,1/28,0,0,192/7,True,True
6,3,1/84,1/84,0,0,67/2,True,True
6,4,1/210,1/210,0,0,3968/105,True,True
6,5,1/462,1/462,0,0,41,True,True
6,6,1/924,1/924,0,0,10048/231,True,True
6,7,1/1716,1/1716,0,0,91/2,True,True
6,8,1/3003,1/3003,0,0,20224/429,True,True
6,9,1/5005,1/5005,0,0,1698/35,True,True
6,10,1/8008,1/8008,0,0,7104/143,True,True
6,11,1/12376,1/12376,0,0,1419/28,True,True
6,12,1/18564,1/18564,0,0,11392/221,True,True
7,1,1/8,1/8,0,0,127/4,True,True
7,2,1/36,1/36,0,0,448/9,True,True
7,3,1/120,1/120,0,0,1237/20,True,True
7,4,1/330,1/330,0,0,11648/165,True,True
7,5,1/792,1/792,0,0,309/4,True,True
7,6,1/1716,1/1716,0,0,35392/429,True,True
7,7,1/3432,1/3432,0,0,347/4,True,True
7,8,1/6435,1/6435,0,0,580864/6435,True,True
7,9,1/11440,1/11440,0,0,3729/40,True,True
7,10,1/19448,1/19448,0,0,232768/2431,True,True
7,11,1/31824,1/31824,0,0,7051/72,True,True
7,12,1/50388,1/50388,0,0,419200/4199,True,True
8,1,1/9,1/9,0,0,170/3,True,True
8,2,1/45,1/45,0,0,4096/45,True,True
8,3,1/165,1/165,0,0,574/5,True,True
8,4,1/495,1/495,0,0,65536/495,True,True
8,5,1/1287,1/1287,0,0,146,True,True
8,6,1/3003,1/3003,0,0,471040/3003,True,True
8,7,1/6435,1/6435,0,0,2486/15,True,True
8,8,1/12870,1/12870,0,0,1114112/6435,True,True
8,9,1/24310,1/24310,0,0,897/5,True,True
8,10,1/43758,1/43758,0,0,1347584/7293,True,True
8,11,1/75582,1/75582,0,0,1705/9,True,True
8,12,1/125970,1/125970,0,0,4063232/20995,True,True
9,1,1/10,1/10,0,0,511/5,True,True
9,2,1/55,1/55,0,0,9216/55,True,True
9,3,1/220,1/220,0,0,2141/10,True,True
9,4,1/715,1/715,0,0,178176/715,True,True
9,5,1/2002,1/2002,0,0,1937/7,True,True
9,6,1/5005,1/5005,0,0,1496064/5005,True,True
9,7,1/11440,1/11440,0,0,12689/40,True,True
9,8,1/24310,1/24310,0,0,4042752/12155,True,True
9,9,1/48620,1/48620,0,0,3457/10,True,True
9,10,1/92378,1/92378,0,0,16489472/46189,True,True
9,11,1/167960,1/167960,0,0,7337/20,True,True
9,12,1/293930,1/293930,0,0,55187456/146965,True,True
10,1,1/11,1/11,0,0,186,True,True
10,2,1/66,1/66,0,0,10240/33,True,True
10,3,1/286,1/286,0,0,401,True,True
10,4,1/1001,1/1001,0,0,471040/1001,True,True
10,5,1/3003,1/3003,0,0,11042/21,True,True
10,6,1/8008,1/8008,0,0,571392/1001,True,True
10,7,1/19448,1/19448,0,0,2433/4,True,True
10,8,1/43758,1/43758,0,0,14000128/21879,True,True
10,9,1/92378,1/92378,0,0,667,True,True
10,10,1/184756,1/184756,0,0,31893504/46189,True,True
10,11,1/352716,1/352716,0,0,9955/14,True,True
10,12,1/646646,1/646646,0,0,21434368/29393,True,True
11,1,1/12,1/12,0,0,2047/6,True,True
11,2,1/78,1/78,0,0,22528/39,True,True
11,3,1/364,1/364,0,0,10555/14,True,True
11,4,1/1365,1/1365,0,0,405504/455,True,True
11,5,1/4368,1/4368,0,0,168251/168,True,True
11,6,1/12376,1/12376,0,0,1689600/1547,True,True
11,7,1/31824,1/31824,0,0,84107/72,True,True
11,8,1/75582,1/75582,0,0,46587904/37791,True,True
11,9,1/167960,1/167960,0,0,25769/20,True,True
11,10,1/352716,1/352716,0,0,117889024/88179,True,True
11,11,1/705432,1/705432,0,0,38627/28,True,True
11,12,1/1352078,1/1352078,0,0,958140416/676039,True,True
12,1,1/13,1/13,0,0,630,True,True
12,2,1/91,1/91,0,0,98304/91,True,True
12,3,1/455,1/455,0,0,49782/35,True,True
12,4,1/1820,1/1820,0,0,770048/455,True,True
12,5,1/6188,1/6188,0,0,26763/14,True,True
12,6,1/18564,1/18564,0,0,9715712/4641,True,True
12,7,1/50388,1/50388,0,0,13481/6,True,True
12,8,1/125970,1/125970,0,0,149782528/62985,True,True
12,9,1/293930,1/293930,0,0,87209/35,True,True
12,10,1/646646,1/646646,0,0,837746688/323323,True,True
12,11,1/1352078,1/1352078,0,0,18751/7,True,True
12,12,1/2704156,1/2704156,0,0,1863598080/676039,True,True
